"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177874927113703
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220918533886584,0.211195335276968
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206207706422018,0.194601383125864,0.154732361516035
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176654424242424,0.187293027522936,0.178691977869986,0.157672303206997
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194861413843888,0.209342545454545,0.200351009174312,0.21335020746888,0.161497667638484
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217208357771261,0.203368630338733,0.223930424242424,0.20874495412844,0.22550857538036,0.185974344023324
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214537212643678,0.229364516129032,0.217470103092784,0.22786703030303,0.237628440366972,0.25352683264177,0.227357725947522
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187020961204401,0.173323132183908,0.21158064516129,0.183454491899853,0.191358424242424,0.204664770642202,0.195725726141079,0.177301166180758
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261084825493171,0.264219513607412,0.259055890804598,0.230574046920821,0.250525625920471,0.247583878787879,0.214073944954128,0.262858921161826,0.244361807580175
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199295942028986,0.204727389984825,0.200433468442386,0.182929310344828,0.19136935483871,0.188884388807069,0.193145575757576,0.19096128440367,0.224205255878285,0.213459183673469
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219556464811784,0.244924927536232,0.232519347496206,0.204748465547192,0.217888505747126,0.216991348973607,0.2168941089838,0.230428606060606,0.226922201834862,0.257980082987552,0.255975801749271
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181494912379876,0.189907610474632,0.18316270531401,0.218000227617602,0.201182455124493,0.188366954022989,0.183083724340176,0.206451251840943,0.191398424242424,0.194520550458716,0.230961825726141,0.17827055393586
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204853500897666,0.192226738270209,0.217056792144026,0.237521739130435,0.242047572078907,0.221742733063115,0.212982040229885,0.227086070381232,0.221779234167894,0.231347757575758,0.214257798165138,0.255533609958506,0.215807288629738
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207802857142857,0.232126570915619,0.211507292255512,0.210997545008183,0.213387149758454,0.230594840667678,0.219865026056746,0.21754224137931,0.215736803519062,0.211030486008837,0.215698545454545,0.215410275229358,0.234189211618257,0.217984256559767
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178485321715818,0.19533419047619,0.209906822262118,0.185918202374223,0.190809901800327,0.195989565217391,0.211398254931715,0.197867226404169,0.188371982758621,0.181321407624633,0.184133136966127,0.189904848484848,0.199055412844037,0.217365421853389,0.154452186588921
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213381879762913,0.197047654155496,0.191601428571429,0.196556672651107,0.186917354437535,0.2008352700491,0.206685603864734,0.233852048558422,0.198456398378691,0.179794396551724,0.197332404692082,0.192113107511046,0.203218909090909,0.203316697247706,0.222339280774551,0.182163848396501
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242048221044663,0.240055376799323,0.196345643431635,0.218044380952381,0.250535727109515,0.239301074053137,0.222122667757774,0.225513913043478,0.260876783004552,0.216395715112913,0.221037212643678,0.218295894428153,0.206797201767305,0.230143515151515,0.212842935779817,0.239012586445367,0.201967930029155
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203972566371681,0.25715639666919,0.227044284504657,0.206521246648794,0.221124857142857,0.232404847396768,0.218427247032222,0.218027332242226,0.244519033816425,0.260154704097117,0.219330573248408,0.223426293103448,0.230908357771261,0.214674374079529,0.222413090909091,0.215360183486239,0.243285477178423,0.225736734693878
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.188396877380046,0.192465044247788,0.23669712339137,0.226018797629128,0.198660857908847,0.211918952380952,0.21124566128067,0.200989881288864,0.213865548281506,0.218165024154589,0.237605538694992,0.198669368847713,0.210867385057471,0.234981818181818,0.228465832106038,0.215097090909091,0.203514678899083,0.238364453665284,0.206563848396501
"21",NA,NA,NA,NA,NA,NA,NA,0.184136713286713,0.188900533130236,0.204851769911504,0.246459500378501,0.211898433530906,0.201291621983914,0.223964476190476,0.23525104727708,0.18816054267948,0.185603109656301,0.204652946859903,0.222880728376328,0.19626311522872,0.201027298850575,0.21780219941349,0.231556701030928,0.224475272727273,0.217968990825688,0.26104785615491,0.208057725947522
"22",NA,NA,NA,NA,NA,NA,0.200627687687688,0.186722086247086,0.190025514089871,0.192714528023599,0.21045457986374,0.19881532599492,0.188961863270777,0.209835428571429,0.212963135846798,0.181022328999435,0.190906710310966,0.202935845410628,0.24342655538695,0.206783844817603,0.201646695402299,0.197920381231672,0.197412812960236,0.198672121212121,0.19514128440367,0.218531811894882,0.207602332361516
"23",NA,NA,NA,NA,NA,0.19209533844189,0.198164624624625,0.179359382284382,0.173444325971059,0.175316150442478,0.170340045420136,0.172679424216765,0.154370844504021,0.187388285714286,0.169829383602633,0.182389033352176,0.171449754500818,0.179914396135266,0.191412063732929,0.159857266936885,0.152681752873563,0.158562903225806,0.155977025036819,0.164209696969697,0.15578128440367,0.153777316735823,0.128131778425656
"24",NA,NA,NA,NA,0.174633393719807,0.19197962962963,0.171983363363363,0.1552581002331,0.155219421172887,0.157045427728614,0.179952308856927,0.173338865368332,0.156445375335121,0.183690380952381,0.179930161579892,0.176298756359525,0.168601309328969,0.162054009661836,0.163818816388467,0.153058540822235,0.158368965517241,0.149993548387097,0.139545655375552,0.152785575757576,0.12971504587156,0.134503042876902,0.103855393586006
"25",NA,NA,NA,0.173661397440332,0.179569867149758,0.185813473818646,0.172588288288288,0.159615442890443,0.14713343488195,0.169999483775811,0.190236638909917,0.17483416596105,0.15767245308311,0.18639419047619,0.204090544584081,0.191274618428491,0.175726595744681,0.169175265700483,0.177581183611533,0.17951574985524,0.173875,0.170317008797654,0.171279970544919,0.166933090909091,0.15308880733945,0.133689764868603,0.123397959183673
"26",NA,NA,0.149909042236764,0.16167727429955,0.162657608695652,0.174128288633461,0.169695675675676,0.155400699300699,0.14985628332064,0.166872935103245,0.167391370174111,0.168082430143946,0.172074262734584,0.181570952380952,0.197421543985637,0.170508818541549,0.192365957446809,0.169401062801932,0.178206449165402,0.170357151129126,0.150549568965517,0.174847653958944,0.151856701030928,0.161597333333333,0.168954311926606,0.188171922544952,0.14151195335277
"27",NA,0.191120500782473,0.174522248661511,0.184698305084746,0.204500724637681,0.213455683269476,0.196604624624625,0.201820804195804,0.186439908606245,0.213950737463127,0.23424307342922,0.221755630821338,0.203013873994638,0.244506,0.232229982046679,0.228818993781798,0.220929705400982,0.204913816425121,0.228607056145675,0.239950550086856,0.184513936781609,0.210326539589443,0.205281885125184,0.216162303030303,0.227195779816514,0.202293499308437,0.212804664723032
