"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762192865600947
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758660086895886,0.69440127294257
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769685539118646,0.75555168159631,0.659561870929544
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794560309889944,0.76916675664975,0.757297645228772,0.734310242747188
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750784455285465,0.790384220952361,0.765329877982939,0.747993885104329,0.625018502072232
NA,NA,NA,NA,NA,NA,NA,NA,0.74414154741508,0.748144000990645,0.788561644369095,0.76354941271041,0.755422946950598,0.622446714031972
NA,NA,NA,NA,NA,NA,NA,0.742812633966078,0.739796285746356,0.745510555976112,0.784231077786634,0.75153775090283,0.747720323982192,0.576913114268798
NA,NA,NA,NA,NA,NA,0.716581802885098,0.740757372007732,0.737359720107332,0.743256488257119,0.784019482357095,0.749138681927798,0.748862843962881,0.585720100651273
NA,NA,NA,NA,NA,0.726016525561861,0.713764032609809,0.736045799942279,0.7352874215608,0.746691765731161,0.780623570432719,0.734080552856063,0.745639113876522,0.585331557134399
NA,NA,NA,NA,0.744010956287541,0.724354959467178,0.714113136891703,0.738339794264776,0.729110235269949,0.738582612545677,0.773796697034289,0.733156726535411,0.751850560532103,0.608718176435761
NA,NA,NA,0.730677346962986,0.742240460896716,0.723026166051942,0.710719127716332,0.730669462756834,0.727030524311652,0.747677518784871,0.780055637914785,0.742086887665119,0.758786139569812,0.615711959739491
NA,NA,0.723601781429862,0.71842783632553,0.733893457477634,0.713622578292911,0.69918987749367,0.718886223675723,0.712221319790504,0.736078620176447,0.768565876277686,0.736905061848372,0.74373223193692,0.774644760213144
NA,0.733913295635784,0.714537941088501,0.716301951518507,0.73165153368104,0.705351336565022,0.699544267127658,0.708284453095691,0.699101086235999,0.711392300071962,0.741688713266125,0.693359728371066,0.726733894759427,0.780731941977502
