"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859550561797753
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807676518883415,0.861958266452649
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838360215053763,0.812277640941434,0.864633493846977
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832740213523132,0.830806451612903,0.811850027367269,0.865703584804708
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817431326709527,0.832497917770879,0.829462365591398,0.813697318007663,0.863563402889246
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665360209033221,0.808408825248393,0.830196108124479,0.829247311827957,0.802391215106732,0.853397538790797
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657089898053754,0.658454647256439,0.801468439509059,0.824926175512986,0.829677419354839,0.790332512315271,0.846040663456394
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65608875128999,0.660426320667285,0.654597486624362,0.793980128579778,0.824169001287196,0.829650537634409,0.78528667214012,0.833333333333333
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.772660256410256,0.645768833849329,0.646895273401297,0.632885405001866,0.766109000584454,0.799257969258726,0.794489247311828,0.738933360700602,0.785313001605136
"11",NA,NA,NA,NA,NA,NA,NA,0.649284253578732,0.731282051282051,0.587203302373581,0.620389249304912,0.576832151300236,0.625073056691993,0.668312258650716,0.650510752688172,0.623614532019704,0.63135366506153
"12",NA,NA,NA,NA,NA,NA,0.577563576702215,0.555555555555556,0.696121794871795,0.564499484004128,0.630583873957368,0.586475052880428,0.573531560490941,0.625910502006512,0.621129032258064,0.635998221127531,0.617174959871589
"13",NA,NA,NA,NA,NA,0.622928795342588,0.566037735849057,0.54762553965008,0.699102564102564,0.566047471620227,0.57775718257646,0.542490979221102,0.547377264757452,0.598879382145832,0.580161290322581,0.585830596606459,0.553370786516854
"14",NA,NA,NA,NA,0.526916221033868,0.603672189879086,0.56825266611977,0.565962281299705,0.709391025641026,0.569917440660475,0.583317886932345,0.553502550702999,0.590371127995324,0.641311425759067,0.592150537634409,0.610905856595512,0.578116639914393
"15",NA,NA,NA,0.694805194805195,0.540106951871658,0.646215853112405,0.577809680065628,0.548761645080663,0.589230769230769,0.433952528379773,0.50787766450417,0.446808510638298,0.384497369959088,0.462769743317937,0.487688172043011,0.453903256704981,0.354735152487962
"16",NA,NA,0.715760266370699,0.694018103109012,0.529055258467023,0.578145991939095,0.563166529942576,0.589252442626676,0.682596153846154,0.679050567595459,0.560518999073216,0.644705735971133,0.758985973115137,0.746376921329598,0.75497311827957,0.76443623426382,0.754949170679508
"17",NA,0.516534391534392,0.622863485016648,0.690181031090122,0.484848484848485,0.523063143752799,0.464971287940935,0.484935241990457,0.566538461538462,0.609649122807018,0.52289156626506,0.571855169839492,0.655318527177089,0.684273491330355,0.613064516129032,0.618106869184455,0.652220438737293
