"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296088348444706
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253815598087057,0.296410382935251
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264634986800202,0.258598321027403,0.299574005204506
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239274784268088,0.270467820654587,0.261916840648376,0.303007793926967
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266676570264969,0.247272853245421,0.28470847946436,0.269649540152408,0.307900475529316
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248845253216873,0.26896434246193,0.245858291761286,0.283227497962063,0.266387015573559,0.312574485909691
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258554529330548,0.252846753986229,0.269657580263403,0.248142461648017,0.282120549335822,0.268755716290226,0.31587852075824
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258708444913371,0.257952297669607,0.25331025885703,0.273241435063044,0.248600730897952,0.27761747884526,0.268118425621668,0.311388093190412
NA,NA,NA,NA,NA,NA,NA,NA,0.248777309080315,0.262543602801033,0.253310720392154,0.252418397808338,0.268365062859948,0.245093039457845,0.268369479261478,0.264459231888513,0.29445302519978
NA,NA,NA,NA,NA,NA,NA,0.273641354234602,0.250925438112714,0.261156247377539,0.255235511441723,0.255484056246107,0.273891959814008,0.252626259011349,0.267599345641852,0.269347011879776,0.289032314988003
NA,NA,NA,NA,NA,NA,0.291710324914126,0.302781274752561,0.264580490217417,0.272176748149619,0.26787846212577,0.259890995758602,0.297612778280981,0.260231092389173,0.304247072478866,0.27811996870693,0.335960952216272
NA,NA,NA,NA,NA,0.254503188213166,0.292428477500011,0.29846540827346,0.257514835729947,0.271682703169795,0.265544667664694,0.260302182552096,0.29103533145627,0.264001456767009,0.30298258196444,0.279712281063925,0.32481379408369
NA,NA,NA,NA,0.243820423205717,0.245299121397635,0.282391585789715,0.289138901050769,0.254227648490739,0.26209409505881,0.260630063726285,0.255041988353205,0.281350330118253,0.258953722578038,0.288185351178377,0.272552046132685,0.31563528977556
NA,NA,NA,0.29744092921967,0.249663812186707,0.251154851446978,0.297195930788748,0.299242332761949,0.260160863612805,0.27447246179856,0.265087092852897,0.257496977193025,0.283090818559986,0.254436118988679,0.294508650414811,0.277893600937676,0.319311574294749
NA,NA,0.261336626229005,0.293292984955927,0.245824524628091,0.253891046130116,0.302705538481832,0.307134062147346,0.264932405593652,0.274563451557077,0.265677310422228,0.256436134263106,0.280549081758264,0.262586383153347,0.305621137895429,0.281533187679664,0.337958051144869
NA,0.18943635663821,0.258448644215462,0.281000277455399,0.244679809664843,0.254644908210923,0.300760555440199,0.310800155676917,0.265071957404927,0.270569157325762,0.269661177056349,0.263383367277465,0.287425112016606,0.26364735026247,0.299180363910589,0.285945996629327,0.333866595166192
